ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,PI16_DATE,Child_Age
387,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,19.25530458590007
387,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,13.42368240930869
388,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,15.64955509924709
388,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,12.68993839835729
388,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,10.02327173169062
388,Children With Biological Father,0,Male,No,,Biological Mother,, ,07 Jul 15,15.34291581108829
388,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,7.326488706365503
391,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,7.644079397672827
392,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,16.31211498973306
392,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,13.66187542778919
393,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,7.019849418206708
394,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,5.812457221081451
396,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,11.45790554414784
401,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,16.99931553730322
401,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,17.08145106091718
401,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,9.248459958932239
402,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,12 Jul 15,.6023271731690623
403,Children With Biological Father,0,Female,No,,Biological Mother,, ,12 Jul 15,.6598220396988365
405,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,16.50376454483231
405,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,10.48870636550308
408,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,21.63175906913073
408,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,14.48049281314168
408,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,11.66872005475702
408,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,.974674880219028
408,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,6.004106776180699
409,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,9.248459958932239
409,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,5.160848733744011
410,Children With Biological Father,0,Male,Yes,No,Biological Mother,Biolgical Mother, ,13 Jul 15,19.00068446269678
410,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,16.49007529089664
410,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,10.48870636550308
410,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,2.001368925393566
410,Children With Biological Father,0,Female,Yes,No,Biological Mother,Biolgical Mother,Baba ndogo,13 Jul 15,22.00136892539357
411,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,14.16016427104723
411,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,9.256673511293634
412,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,3.764544832306639
413,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,5.817932922655715
414,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,18.49144421629021
414,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,14.44490075290897
416,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,9.973990417522245
416,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,8.802190280629706
416,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,2.822724161533197
421,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,17.33333333333333
421,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,9.746748802190281
421,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,12.74743326488706
421,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,4.662559890485968
422,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,14 Jul 15,16.15058179329226
422,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,14 Jul 15,10.27241615331964
426,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,21.48939082819986
426,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,18.48870636550308
427,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,16.74469541409993
427,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,18.41478439425051
428,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,7.728952772073922
428,Children With Biological Father,0,Male,No,,Biological Mother,, ,09 Jul 15,7.080082135523614
429,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,21.06776180698152
429,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,18.06707734428474
429,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,15.06639288158795
429,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,10.06707734428474
429,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,9.067761806981519
429,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,6.067077344284736
429,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,10 Jul 15,3.066392881587953
430,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,8.580424366872005
430,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,6.759753593429158
431,Children From Other Unions,1,Female,Yes,No,Biological Mother,Sibling (Sister), ,12 Jul 15,20.99931553730322
431,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,12 Jul 15,19.09377138945927
431,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,12 Jul 15,14.072553045859
431,Children From Other Unions,1,Female,Yes,No,Biological Mother,Maternal Grandmother, ,12 Jul 15,11.07186858316222
432,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,6.806297056810404
434,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,13.90828199863108
434,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,12.12046543463381
434,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,11 Jul 15,10.10814510609172
435,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,12 Jul 15,3.682409308692676
437,Children With Biological Father,0,Female,No,,Biological Mother,, ,13 Jul 15,15.9917864476386
437,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,13 Jul 15,17.99041752224504
439,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,14 Jul 15,14.11909650924025
439,Children With Biological Father,0,Male,,,Biological Mother,, ,14 Jul 15,.8596851471594799
439,Non-Biological Children Under Five,,Male,,Yes,Maternal Grandmother,Biolgical Mother, ,14 Jul 15,7.337440109514032
439,Non-Biological Children Under Five,,Female,,Yes,Maternal Aunt,Biolgical Mother, ,14 Jul 15,6.360027378507871
440,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,15 Jul 15,7.832991101984942
441,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,15 Jul 15,9.119780971937029
443,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,15 Jul 15,6.997946611909651
443,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,15 Jul 15,5.998631074606434
443,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,15 Jul 15,13.99863107460643
452,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,19 Jul 15,13.08145106091718
455,Children With Biological Father,0,Male,No,,Biological Mother,, ,16 Jul 15,.7994524298425736
457,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,17.08966461327858
457,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,14.08898015058179
457,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,12.09034907597536
457,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,9.089664613278575
457,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,2.261464750171116
457,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,25.11430527036277
457,Children From Other Unions,1,Female,Yes,No,Biological Mother,Step-Mother, ,18 Jul 15,22.08898015058179
458,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,11.76728268309377
458,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,9.623545516769337
458,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,7.096509240246407
459,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,8.881587953456537
459,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,7.118412046543463
461,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,19 Jul 15,6.223134839151267
463,Children From Other Unions,1,Female,Yes,No,Biological Mother,Sibling (Sister), ,19 Jul 15,21.9958932238193
463,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,19 Jul 15,19.07734428473648
