PI7,ID,S10_2,S10_3,S10_4_Y,S10_4_M,S10_4_D,S10_4,S10_5,S10_6_Y,S10_6_M,S10_6_D,S10_6,S10_7,S10_8
23063EB6-9B13-47D6-97B8-EA502CCEA93C,205,1,Married,1992,6,1,01 Jun 92,No,2010,6,1,01 Jun 10,Widowed,4
CB61FF0D-784D-43ED-A78C-000428FF7F92,431,1,Cohabitating,1993,6,1,01 Jun 93,No,2004,6,1,01 Jun 04,Widowed,4
EAEA91AD-6986-45DC-B850-D7361280EB7D,457,1,Non-Cohabitating Steady Relationship,1990,6,1,01 Jun 90,No,1993,6,1,01 Jun 93,Separated,2
1F1CD366-037E-4333-81A4-C462D9BA1A61,80,1,Non-Cohabitating Casual Relationship,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,1
A2B05034-0B4A-4E7D-AE12-5C7C64ECBD4A,92,1,Married,1988,6,1,01 Jun 88,,,,,,Widowed,4
A2B05034-0B4A-4E7D-AE12-5C7C64ECBD4A,92,2,Non-Cohabitating Casual Relationship,2014,2,1,01 Feb 14,No,2015,1,1,01 Jan 15,Separated,1
830D3F42-44C5-4116-8AB6-732CBDD0B9A5,268,1,Non-Cohabitating Steady Relationship,2005,6,1,01 Jun 05,No,2007,6,1,01 Jun 07,Separated,1
0ACD22EE-DA43-4371-B33C-BF318EF509B8,95,1,Non-Cohabitating Casual Relationship,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,1
0ACD22EE-DA43-4371-B33C-BF318EF509B8,95,2,Non-Cohabitating Casual Relationship,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,1
2430417B-4BE7-4DFC-972F-824DD0B8B985,320,1,Non-Cohabitating Casual Relationship,1900,7,1,01 Jul 00,No,1900,7,1,01 Jul 00,Separated,1
803FB046-1B9A-41BF-B764-F53F644CFFEC,475,1,Non-Cohabitating Steady Relationship,1900,6,1,01 Jun 00,No,2015,6,1,01 Jun 15,Separated,2
365F294A-FBEC-4C93-9197-ED1AA7E53600,126,1,Married,1994,6,1,01 Jun 94,No,2004,6,1,01 Jun 04,Widowed,3
10C309C9-EED3-4DAF-8FE2-AA668C28F627,155,1,Non-Cohabitating Steady Relationship,1995,6,1,01 Jun 95,No,2004,6,1,01 Jun 04,Separated,2
A91AE720-14A8-4F76-A325-5FA8E3050158,54,1,Married,1900,1,1,01 Jan 00,No,1900,6,1,01 Jun 00,Separated,1
DD1AEAE7-C79E-44C6-8730-4FE2313D9884,139,1,Married,2002,6,1,01 Jun 02,No,2011,6,1,01 Jun 11,Widowed,3
059C9C29-1749-46E6-B9FF-DDD0D50856B1,259,1,Non-Cohabitating Casual Relationship,1900,6,1,01 Jun 00,No,1900,6,1,01 Jun 00,Separated,1
9BD379CE-6697-4A51-B23D-2120D149F125,275,1,Married,1900,6,1,01 Jun 00,No,1900,6,1,01 Jun 00,Separated,2
7F215815-B18C-4270-AF6A-E73B93DA8D02,273,1,Married,1900,6,1,01 Jun 00,No,1900,5,1,01 May 00,Separated,2
BFB740ED-9BF4-42DB-8D68-4DB0D979F4CD,422,1,Married,1900,6,1,01 Jun 00,No,1900,6,1,01 Jun 00,Separated,2
108C3C1A-4935-4FD2-87BA-E4D6A855BD5C,227,1,Cohabitating,1999,6,1,01 Jun 99,No,2007,6,1,01 Jun 07,Separated,2
5930322E-CFF0-4A75-8987-0AC5B480DBDA,336,1,Married,2015,6,1,01 Jun 15,No,1999,7,1,01 Jul 99,Separated,2
2ACAC7C5-71CD-45F2-9E02-C575C2C7DC47,35,1,Cohabitating,2003,2,1,01 Feb 03,No,2006,4,1,01 Apr 06,Separated,1
B5F0E369-7F05-4F55-B9BD-5213EA4A4D0A,33,1,Non-Cohabitating Casual Relationship,2007,6,1,01 Jun 07,No,2009,6,1,01 Jun 09,Separated,1
6B02677F-7302-4F36-8799-5A1553DC3E80,326,1,Cohabitating,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,3
B9335662-02A0-4F61-80D3-B2F9D9B22B34,178,1,Married,2006,2,1,01 Feb 06,No,2010,3,1,01 Mar 10,Separated,1
11DA3C72-F36C-474A-AF78-EDD868901224,214,1,Cohabitating,1992,4,1,01 Apr 92,No,1998,6,1,01 Jun 98,Separated,2
CB40BC8B-FE46-46C9-8E65-B35B5C0A5A14,176,1,Non-Cohabitating Steady Relationship,2008,6,1,01 Jun 08,No,2009,8,1,01 Aug 09,Separated,1
1411DCF7-5539-45F9-B4C9-639D42A78219,31,1,Married,2005,5,1,01 May 05,No,2006,6,1,01 Jun 06,Separated,2
1411DCF7-5539-45F9-B4C9-639D42A78219,31,2,Married,1900,5,1,01 May 00,No,2008,1,1,01 Jan 08,Separated,0
E5382E61-F03E-4F6C-83B0-7050ABBEB844,477,1,Non-Cohabitating Steady Relationship,1997,9,1,01 Sep 97,No,1900,7,1,01 Jul 00,Separated,5
7CA11506-BB09-4393-813E-E51E18ADE8C8,469,1,Non-Cohabitating Casual Relationship,2014,9,1,01 Sep 14,No,2015,4,1,01 Apr 15,Separated,1
