ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,BINT_TIME1_DATE,Child_Age
154,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,5.371663244353183
155,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,.7912388774811773
156,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,7.775496235455168
159,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,7.493497604380561
161,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,116.0766598220397
161,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,116.0766598220397
161,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,15.83025325119781
161,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,14.07802874743327
161,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,11.07734428473648
161,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,7.436002737850787
161,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,3.559206023271732
162,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,16.26830937713894
162,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,11.79739904175223
162,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,8.10403832991102
164,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,23.66324435318275
165,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,1.648186173853525
166,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,9.344284736481862
167,Children From Other Unions,1,Male,No,,Biological Mother,, ,29 Jan 16,.7775496235455168
168,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,12.97741273100616
169,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,1.125256673511294
170,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,5.566050650239562
170,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,21.22655715263518
170,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,19.21423682409309
170,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,12.72826830937714
172,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,12.18891170431212
172,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,7.145790554414784
174,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,30 Jan 16,12.93634496919918
174,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,30 Jan 16,9.94113620807666
175,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,.2272416153319644
175,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,11.07460643394935
176,Non-Biological Children Under Five,,Female,,Yes,Sibling (Sister),Biolgical Mother, ,30 Jan 16,4.079397672826831
177,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,.7693360711841205
178,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,13.54414784394251
178,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,12.3750855578371
179,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,9.36892539356605
179,Children From Other Unions,1,Male,Yes,No,Biological Mother,Other Relative (Maternal), ,30 Jan 16,14.71047227926078
180,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,15.19233401779603
180,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,11.66872005475702
183,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jan 16,.2409308692676249
184,Non-Biological Children Under Five,,Male,,Yes,Other,Biolgical Mother, ,29 Jan 16,4.125941136208077
186,Non-Biological Children Under Five,,Male,,Yes,Maternal Aunt,Biolgical Mother, ,31 Jan 16,3.997262149212868
187,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,.0520191649555099
188,Children Not Mentioned,,Female,Yes,No,,Other Relative (Maternal), ,31 Jan 16,14.74058863791923
188,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,31 Jan 16,11.66050650239562
189,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,6.532511978097194
190,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,29 Jan 16,16.0766598220397
190,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,29 Jan 16,12.0766598220397
190,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,29 Jan 16,1.075975359342916
192,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,.5776865160848734
