PI7,ID,KST_Number,S19_1,S19_3,S19_4,S20_1,S20_3,S20_12,S20_13,S20_14,S20_15,S20_16,S20_18,S20_1_1,S20_1_2,S20_1_3,S20_2_1,S20_2_2,S20_2_3,S20_2_4,S20_2_5,S20_2_5_4,S20_2_5_0,S20_2_5_1,S20_2_5_2,S20_2_5_3,S20_2_5_97,S20_2_5_98,S20_3_1,S20_3_2,S20_3_3,S20_3_4,S20_3_5,S20_3_6,S20_3_6_0,S20_3_6_1,S20_3_6_2,S20_3_6_3,S20_3_6_4,S20_3_6_5,S20_3_6_6,S20_3_6_7,S20_3_6_8,S20_3_6_9,S20_3_6_97,S20_3_6_98,S20_3_7,S20_3_8,S20_3_9,S20_4_1,S20_4_2,S20_4_3,S20_4_3_1,S20_4_3_2,S20_4_3_3,S20_4_3_4,S20_4_3_5,S20_4_3_6,S20_4_3_7,S20_4_3_8,S20_4_3_97,S20_4_3_98,S20_4_5,S20_5_1,S20_5_2,S20_5_3,S20_5_4,S20_5_5,Additional_Record_Flag,KST_ID
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,54,Paternal Aunt,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74054
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,75, Paternal Grandfather,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74075
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,1,Biological Father,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74001
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,32,Maternal Aunt,Yes,47,No,,No,Yes,3<6 Hours,Bus,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,74032
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,45,Maternal Uncle,Yes,40,No,,No,No,,,, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,Yes,Yes,1000-1999 Kshs,Less Than Half Of All Expenses,Upon Request,1,No,Yes,No,No,No,No,No,No,No,No,No,No, ,1000-1999 Kshs,Satisfied,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,74045
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,2,Sibling (Sister),Yes,6,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74002
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,43,Maternal Uncle,Yes,49,No,,No,Yes,6<11 Hours,Bus,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,74043
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,44,Maternal Uncle,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74044
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,62,Paternal Uncle,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74062
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,42,Maternal Uncle,Yes,51,No,,No,Yes,3<6 Hours,Bus,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,74042
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,72,Maternal Grandmother,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74072
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,52,Paternal Aunt,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74052
